id cliente;DNI ;Nombre completo ;Número de contacto ;Email ;Género;Ocupación;Educación;Descuento ;Código cliente frecuente
1;26932735;Sophia-Johnson;808-5455-51;s.johnson@randatmail.com;F;Fotógrafo;Doctorado;39;1377
2;15712940;Aiden-Ross;925-4430-60;a.ross@randatmail.com;F;Cocinero;Maestría;48;4114
3;20085574;Alina-Morris;978-5048-37;a.morris@randatmail.com;F;Productor;Secundaria;80;3807
4;31040898;Fiona-Carter;364-8046-50;f.carter@randatmail.com;F;Artista;Secundaria;48;1254
5;35960020;Aiden-Perkins;085-7441-77;a.perkins@randatmail.com;M;Cantante;Secundaria;83;2775
6;15808652;Lilianna-Sullivan;994-2464-31;l.sullivan@randatmail.com;F;Auditor;Primario;74;3974
7;33181555;Alina-Miller;179-2526-57;a.miller@randatmail.com;M;Abogado;Maestría;37;1449
8;19774637;Deanna-Dixon;772-7733-23;d.dixon@randatmail.com;F;Botánico;Secundaria;84;4252
9;26173641;Amy-Richards;256-7173-81;a.richards@randatmail.com;F;Compositor;Primario;100;2046
10;18746454;Belinda-Hunt;257-9275-27;b.hunt@randatmail.com;M;Matemático;Doctorado;58;1358
11;31272304;Stella-Jones;749-3579-10;s.jones@randatmail.com;F;Historiador;Maestría;94;3098
12;17388806;Spike-Brooks;384-3980-49;s.brooks@randatmail.com;M;Medicoo;Secundaria;87;3374
13;17036783;Chloe-Sullivan;113-5018-36;c.sullivan@randatmail.com;F;Científico;Secundaria;20;2377
14;20308647;Adele-Scott;449-7411-81;a.scott@randatmail.com;F;Economistaa;Secundaria;48;3147
15;35477328;Ryan-Evans;094-2057-09;r.evans@randatmail.com;M;Fotógrafo;Secundaria;6;2996
16;19948907;Brianna-Howard;476-4238-73;b.howard@randatmail.com;M;Geólogo;Secundaria;26;1569
17;22276708;Ada-Craig;252-6301-36;a.craig@randatmail.com;F;Veterinario;Maestría;40;4463
18;24203671;William-Higgins;583-5748-03;w.higgins@randatmail.com;F;Carpintero;Doctorado;9;3041
19;16597185;Sabrina-Edwards;130-7564-00;s.edwards@randatmail.com;M;Auditor;Secundaria;2;4409
20;26177040;Adrian-Phillips;993-3296-95;a.phillips@randatmail.com;M;Compositor;Doctorado;71;4032
21;30671611;David-Edwards;697-6521-82;d.edwards@randatmail.com;M;Agrónomo;Doctorado;48;4665
22;27175714;Hailey-Brown;299-0229-79;h.brown@randatmail.com;F;Ingeniero;Doctorado;100;3537
23;15941090;Isabella-Grant;511-7238-46;i.grant@randatmail.com;M;Manager;Secundaria;47;1055
24;24172027;Samantha-West;331-3227-83;s.west@randatmail.com;F;Químico;Maestría;32;2123
25;19894030;Nicholas-Robinson;799-1706-51;n.robinson@randatmail.com;M;Oficial De Policía;Secundaria;55;4518
26;23967714;Joyce-Farrell;144-5109-64;j.farrell@randatmail.com;F;Medicoo;Secundaria;65;4534
27;24790916;Daniel-Rogers;192-6112-22;d.rogers@randatmail.com;M;Físico;Maestría;83;5188
28;22034355;Heather-Brown;056-2325-32;h.brown@randatmail.com;F;Escritor;Primario;10;1647
29;31199610;Alina-Andrews;490-4063-19;a.andrews@randatmail.com;F;Diseñador De Interiores;Doctorado;46;3530
