id vendedor ;Nombre ;Apellido ;Genero ;Telefono ;Estado Civil;Contrato ;Cod de Suc;Nombre suc;Tamano;Zona
1;Ted;Gray;Masculino;574-3536-77;Casado;Fijo ;14;Suc 14;B2B;Norte
2;Honey;Allen;femenino;866-4109-18;Casado;Indefenido ;10;Suc 10;B2C;Norte
3;Eleanor;West;femenino;757-0577-03;Soltera;Fijo ;12;Suc 12;B2B;Occidente
4;Michael;Scott;Masculino;364-4542-30;Casado;Fijo ;14;Suc 14;B2B;Norte
5;Haris;Holmes;Masculino;083-0814-87;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
6;Eleanor;Farrell;femenino;510-0230-50;Casado;Indefenido ;15;Suc 15;B2B;Sur
7;Kevin;Perry;Masculino;934-8665-81;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
8;William;Jones;Masculino;793-7197-92;Casado;Indefenido ;14;Suc 14;B2B;Norte
9;Elian;Harris;Masculino;925-6071-55;Soltera;Fijo ;12;Suc 12;B2B;Occidente
10;Melissa;Murphy;femenino;131-2149-15;Soltera;Indefenido ;10;Suc 10;B2C;Norte
11;Amber;Smith;femenino;414-6604-38;Soltera;Fijo ;15;Suc 15;B2B;Sur
12;Carlos;Morgan;Masculino;489-2228-79;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
13;Chester;Taylor;Masculino;176-5152-32;Soltera;Indefenido ;15;Suc 15;B2B;Sur
14;Edward;Morrison;Masculino;503-3395-05;Soltera;Fijo ;10;Suc 10;B2C;Norte
15;Gianna;Murray;femenino;141-7503-06;Casado;Indefenido ;11;Suc 11;B2C;Sur
16;Aiden;Sullivan;Masculino;218-9481-62;Soltera;Fijo ;13;Suc 13;B2C;Oriente
17;Alen;Robinson;Masculino;675-1058-13;Casado;Indefenido ;11;Suc 11;B2C;Sur
18;Ted;Perkins;Masculino;842-6517-43;Casado;Fijo ;15;Suc 15;B2B;Sur
19;Miley;Clark;femenino;203-0519-80;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
20;George;Turner;Masculino;116-4773-45;Soltera;Indefenido ;10;Suc 10;B2C;Norte
21;Carina;Wilson;femenino;183-9370-06;Soltera;Fijo ;12;Suc 12;B2B;Occidente
22;Owen;Davis;Masculino;383-2011-65;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
23;Ted;Kelley;Masculino;033-6664-14;Casado;Indefenido ;14;Suc 14;B2B;Norte
24;Adrian;Riley;Masculino;143-7697-95;Soltera;Fijo ;14;Suc 14;B2B;Norte
25;Rosie;Morgan;femenino;623-4749-76;Soltera;Indefenido ;11;Suc 11;B2C;Sur
26;Emily;Harrison;femenino;884-8394-08;Casado;Indefenido ;11;Suc 11;B2C;Sur
27;Ryan;Riley;Masculino;157-6185-94;Casado;Fijo ;15;Suc 15;B2B;Sur
28;Amelia;Clark;femenino;566-4785-74;Casado;Indefenido ;14;Suc 14;B2B;Norte
29;Jordan;Riley;Masculino;923-3428-05;Casado;Indefenido ;15;Suc 15;B2B;Sur
30;Walter;Evans;Masculino;914-6081-03;Soltera;Fijo ;13;Suc 13;B2C;Oriente
31;Edward;Sullivan;Masculino;964-8837-56;Soltera;Fijo ;13;Suc 13;B2C;Oriente
32;Edith;Kelley;femenino;810-8403-71;Casado;Indefenido ;15;Suc 15;B2B;Sur
33;Brooke;Morris;femenino;711-8427-13;Casado;Fijo ;13;Suc 13;B2C;Oriente
34;Alissa;Williams;femenino;000-2032-28;Soltera;Fijo ;11;Suc 11;B2C;Sur
35;Victoria;Harrison;femenino;884-4600-31;Casado;Fijo ;13;Suc 13;B2C;Oriente
36;Jared;Adams;Masculino;814-7250-55;Casado;Indefenido ;12;Suc 12;B2B;Occidente
37;Aiden;Martin;Masculino;417-6864-10;Casado;Indefenido ;13;Suc 13;B2C;Oriente
